yearmoth  min	  5th	   med	    95th     max
193101  264.81   265.10   270.16   274.19   275.44 
193102  267.92   269.62   273.27   276.81   277.41 
193103  271.88   273.53   276.31   279.87   281.43 
193104  276.96   277.93   281.22   286.22   287.74 
193105  284.15   285.61   288.21   291.07   291.92 
193106  290.48   293.12   295.60   298.40   298.48 
193107  296.64   297.60   300.26   303.38   303.50 
193108  296.72   297.58   300.31   302.07   302.36 
193109  290.81   292.32   294.44   296.38   296.46 
193110  282.88   283.23   286.85   288.31   288.50 
193111  273.75   274.28   277.34   280.41   280.92 
193112  268.23   268.24   270.89   274.69   275.06 
193201  263.76   265.28   270.12   273.18   273.88 
193202  267.85   268.90   272.92   276.85   277.00 
193203  273.42   273.65   276.74   279.88   280.82 
193204  278.78   279.78   282.27   285.15   286.09 
193205  286.77   287.09   289.68   291.34   291.60 
193206  293.27   293.31   295.91   297.97   298.33 
193207  298.05   298.39   301.07   302.23   303.33 
193208  296.49   297.92   300.17   302.50   302.59 
193209  291.59   291.62   295.06   297.10   297.79 
193210  282.14   282.40   286.49   289.10   289.53 
193211  273.68   273.76   278.03   280.74   281.12 
193212  266.02   266.81   271.42   274.44   275.00 
193301  264.74   265.76   270.28   274.55   275.87 
193302  266.31   270.26   273.09   276.70   277.05 
193303  273.13   274.28   276.46   279.93   281.07 
193304  276.61   277.92   281.80   284.88   285.01 
193305  286.01   286.36   289.50   291.95   292.01 
193306  292.97   292.97   295.23   298.69   299.26 
193307  296.83   297.52   299.96   302.73   302.77 
193308  296.88   297.38   299.97   302.09   302.28 
193309  291.40   291.42   294.08   297.50   297.68 
193310  283.48   283.57   285.71   288.71   290.48 
193311  274.80   274.93   277.40   279.69   280.90 
193312  266.05   266.98   270.99   274.45   274.79 
193401  264.75   265.82   270.62   275.12   276.62 
193402  267.61   268.14   272.43   276.81   277.16 
193403  272.72   272.74   276.42   279.07   279.90 
193404  276.84   278.53   282.10   285.18   286.41 
193405  286.27   286.51   289.00   292.37   293.29 
193406  289.13   293.60   295.67   299.06   299.25 
193407  294.63   297.24   300.49   302.02   302.23 
193408  296.31   296.49   300.18   302.28   302.94 
193409  290.06   291.82   294.45   297.06   297.57 
193410  282.39   283.72   286.65   288.90   288.90 
193411  273.44   274.23   277.33   280.91   280.99 
193412  265.57   265.63   271.64   274.55   275.65 
193501  265.75   265.99   270.20   273.78   273.81 
193502  267.39   267.70   272.95   277.16   277.69 
193503  272.32   273.08   275.89   279.81   280.17 
193504  278.36   278.43   281.66   284.25   286.55 
193505  285.45   286.45   288.97   291.43   291.83 
193506  293.20   293.29   296.15   298.20   298.36 
193507  295.92   296.89   300.71   302.43   302.74 
193508  297.45   297.57   300.33   302.40   302.81 
193509  291.81   291.95   294.26   296.59   297.35 
193510  283.08   283.86   286.45   288.78   288.80 
193511  274.17   274.23   277.34   281.25   281.42 
193512  266.47   267.68   271.62   274.72   274.80 
193601  266.54   266.76   270.79   274.99   275.37 
193602  263.85   269.79   273.41   277.12   277.55 
193603  273.13   273.76   276.28   279.95   281.10 
193604  276.95   277.93   281.81   285.37   287.00 
193605  285.41   287.33   289.32   292.33   292.42 
193606  293.25   293.29   295.73   298.46   298.74 
193607  298.47   298.76   300.93   302.60   302.97 
193608  297.49   297.62   300.70   302.33   302.58 
193609  291.43   291.94   294.72   297.32   297.35 
193610  283.96   284.25   286.17   288.98   289.34 
193611  273.66   274.12   277.81   280.05   281.33 
193612  266.29   267.11   270.48   273.66   274.05 
193701  266.58   267.99   270.64   274.05   276.54 
193702  265.21   267.46   272.57   277.74   277.86 
193703  271.46   271.57   276.83   279.60   280.25 
193704  278.15   278.16   281.14   284.17   284.95 
193705  285.29   286.51   289.37   293.10   293.60 
193706  292.00   292.17   295.28   299.73   299.87 
193707  297.40   297.48   300.63   302.07   302.18 
193708  297.21   297.64   300.07   302.41   302.55 
193709  291.87   292.08   294.23   296.75   297.02 
193710  283.53   283.54   286.45   288.37   288.93 
193711  273.60   274.40   278.40   281.08   282.48 
193712  266.72   268.21   271.71   274.64   274.74 
193801  262.98   264.99   269.01   273.52   274.95 
193802  269.33   269.70   272.43   275.16   277.46 
193803  273.58   274.58   275.94   279.18   279.34 
193804  278.25   278.33   281.49   283.94   285.48 
193805  285.51   286.26   289.35   291.58   291.80 
193806  292.37   292.60   295.85   298.09   298.32 
193807  294.74   296.26   300.18   301.95   302.88 
193808  297.35   297.67   300.03   302.05   302.11 
193809  290.57   292.04   294.42   296.05   297.13 
193810  283.01   283.78   286.16   289.72   290.30 
193811  274.16   274.94   277.21   279.64   281.01 
193812  267.26   268.07   270.67   274.29   274.71 
193901  264.34   265.16   269.74   274.89   275.08 
193902  269.96   270.38   272.85   275.78   277.40 
193903  272.91   273.68   277.07   281.40   282.04 
193904  277.27   278.15   281.72   284.93   285.78 
193905  285.91   286.02   289.07   291.16   291.59 
193906  293.06   293.15   295.91   298.71   298.93 
193907  297.49   297.57   300.55   302.81   303.60 
193908  296.82   296.83   300.21   301.77   301.90 
193909  291.18   291.56   294.84   296.73   297.30 
193910  282.86   282.95   286.36   289.19   290.34 
193911  274.47   275.53   277.49   280.65   280.84 
193912  267.68   267.76   270.79   274.80   275.94 
194001  266.06   267.23   270.09   273.73   275.06 
194002  268.05   268.78   273.60   277.74   278.72 
194003  273.01   273.48   276.59   280.45   281.00 
194004  278.53   278.90   281.33   285.16   285.42 
194005  286.33   286.48   289.07   291.26   291.51 
194006  291.88   292.02   295.75   299.04   300.03 
194007  297.65   299.00   300.68   302.90   303.66 
194008  296.60   296.90   300.15   301.63   301.65 
194009  291.01   291.38   294.51   296.67   297.07 
194010  283.60   283.79   285.70   288.66   288.91 
194011  274.46   275.07   277.75   280.48   280.61 
194012  264.19   264.56   270.36   273.98   274.60 
194101  263.67   265.76   270.48   273.56   273.96 
194102  268.62   269.38   272.80   275.79   275.87 
194103  272.60   273.11   277.03   279.28   279.42 
194104  278.54   278.72   281.30   284.60   285.35 
194105  284.98   285.90   288.88   292.02   292.05 
194106  292.15   293.37   295.15   298.32   298.37 
194107  297.21   297.29   300.51   302.00   302.31 
194108  296.38   297.83   300.10   302.03   302.06 
194109  290.88   291.75   294.78   296.86   297.25 
194110  283.00   283.59   286.32   289.93   291.10 
194111  273.78   273.79   276.91   279.91   280.19 
194112  266.97   267.86   270.85   274.83   275.16 
194201  264.74   265.43   269.07   273.19   274.46 
194202  268.59   269.54   272.80   277.30   279.29 
194203  272.90   273.54   276.75   280.33   281.92 
194204  278.60   278.64   281.84   285.70   286.05 
194205  286.26   286.75   289.53   292.70   293.41 
194206  291.71   291.83   296.33   298.91   299.20 
194207  296.77   298.03   300.96   303.01   303.07 
194208  296.46   297.85   300.20   302.22   302.33 
194209  291.08   291.51   294.65   296.78   297.03 
194210  282.99   283.10   286.42   288.53   289.22 
194211  273.87   274.28   277.80   280.53   282.19 
194212  266.34   266.92   271.10   273.95   274.81 
194301  267.03   267.26   269.96   274.34   276.46 
194302  268.50   270.02   273.52   277.23   277.67 
194303  272.12   273.35   276.32   279.16   279.60 
194304  277.71   278.11   281.38   285.52   285.81 
194305  284.71   286.51   289.45   292.17   292.80 
194306  292.74   293.14   296.17   298.39   298.65 
194307  297.18   297.43   300.50   302.68   303.45 
194308  298.49   298.89   300.33   301.58   301.64 
194309  291.61   292.14   294.83   296.38   296.64 
194310  283.98   284.69   286.33   290.03   290.23 
194311  274.81   274.88   277.33   280.11   281.75 
194312  265.48   266.27   270.53   274.19   274.68 
194401  264.57   266.17   270.76   275.11   275.33 
194402  268.55   268.81   273.14   277.07   277.34 
194403  273.23   273.82   276.60   279.69   280.10 
194404  277.82   278.85   281.67   285.62   285.93 
194405  284.34   285.76   288.06   291.79   292.00 
194406  292.33   292.35   295.96   298.63   299.65 
194407  296.39   297.04   300.16   302.32   302.45 
194408  296.88   297.03   300.34   302.09   302.73 
194409  291.29   291.47   294.53   297.12   298.83 
194410  283.43   284.15   286.82   289.08   289.25 
194411  271.85   274.06   277.07   279.79   280.82 
194412  266.26   266.39   270.97   273.69   274.51 
194501  263.27   265.27   270.06   273.68   274.16 
194502  267.26   267.65   272.80   276.87   277.52 
194503  269.63   273.51   276.37   281.08   281.22 
194504  278.41   278.86   281.51   285.55   286.40 
194505  285.26   286.25   289.06   292.51   292.65 
194506  291.78   292.34   295.61   297.92   299.31 
194507  297.29   297.86   300.62   302.60   302.81 
194508  297.70   298.21   300.64   302.15   302.47 
194509  292.30   292.65   294.82   296.50   296.71 
194510  283.90   284.10   285.98   288.69   288.75 
194511  272.46   272.84   277.48   280.39   281.00 
194512  266.25   266.75   271.33   276.01   276.01 
194601  263.84   265.85   271.33   273.27   274.99 
194602  268.31   268.89   273.81   278.41   278.65 
194603  272.58   273.59   276.72   279.82   280.14 
194604  277.78   278.10   282.01   285.76   287.16 
194605  286.18   286.83   288.67   291.71   291.82 
194606  292.80   293.07   295.58   298.11   298.87 
194607  297.80   297.99   300.44   302.24   302.71 
194608  296.07   296.33   300.33   301.64   301.97 
194609  291.65   292.24   294.96   297.10   297.18 
194610  283.03   283.75   286.44   288.74   290.26 
194611  274.08   274.22   277.67   281.69   281.94 
194612  265.39   265.41   270.98   273.99   274.73 
194701  264.42   266.02   269.96   274.38   277.46 
