yearmoth  min	  5th	   med	    95th     max
192001  254.42   254.51   257.75   262.66   262.91 
192002  254.59   256.71   261.89   267.23   268.89 
192003  261.23   261.83   266.35   270.57   271.72 
192004  268.81   268.84   272.50   274.13   274.70 
192005  276.59   276.90   278.22   279.80   280.10 
192006  281.03   281.52   282.78   284.04   284.06 
192007  284.62   285.11   286.56   288.05   288.19 
192008  284.40   284.95   286.74   287.63   287.86 
192009  280.26   280.59   282.11   282.89   283.50 
192010  273.44   273.46   275.97   277.61   277.63 
192011  261.66   264.90   268.39   272.11   272.76 
192012  256.69   258.08   261.66   266.38   267.42 
192101  249.39   252.96   259.06   268.68   269.67 
192102  255.24   258.30   262.62   268.69   269.54 
192103  260.52   261.00   267.19   271.10   271.27 
192104  267.21   268.18   271.57   274.56   276.05 
192105  276.02   276.12   278.01   280.17   280.24 
192106  280.84   281.08   282.61   283.97   284.41 
192107  284.72   285.13   286.57   287.63   287.81 
192108  284.51   285.05   286.47   287.71   288.08 
192109  280.05   280.13   281.93   283.19   283.38 
192110  272.58   273.00   275.06   277.43   277.59 
192111  264.93   265.27   268.39   270.27   271.87 
192112  254.85   255.54   260.87   264.44   264.49 
192201  251.71   253.39   259.01   264.76   269.51 
192202  254.06   256.53   262.40   267.29   267.32 
192203  261.75   262.48   266.74   269.81   271.70 
192204  267.60   269.26   271.65   274.80   274.92 
192205  275.11   276.47   278.12   279.25   279.97 
192206  280.24   280.85   282.94   284.00   284.02 
192207  285.00   285.01   286.75   287.51   288.52 
192208  284.47   284.77   286.48   287.39   287.88 
192209  279.64   280.00   281.96   283.36   283.49 
192210  272.02   272.25   274.99   277.53   277.84 
192211  262.98   264.47   268.32   272.33   272.86 
192212  249.68   254.78   260.85   264.86   265.64 
192301  248.98   252.63   258.65   265.62   265.98 
192302  252.87   255.36   261.51   265.71   267.59 
192303  260.19   261.10   265.94   269.39   271.45 
192304  266.93   267.68   271.71   274.14   274.63 
192305  275.40   276.00   277.78   279.27   279.31 
192306  280.44   280.99   282.41   284.28   284.76 
192307  284.78   284.98   286.54   287.74   287.82 
192308  284.95   285.18   286.59   287.65   287.86 
192309  279.71   279.75   281.59   282.76   282.82 
192310  273.18   273.32   275.62   277.38   277.94 
192311  258.31   262.34   268.29   271.83   272.25 
192312  253.82   254.73   260.87   265.00   266.17 
192401  250.78   253.62   259.86   265.45   267.40 
192402  255.69   258.24   262.35   266.41   266.56 
192403  260.44   260.69   264.98   269.20   271.03 
192404  266.82   267.89   271.11   274.89   275.06 
192405  275.39   275.80   278.09   279.69   279.94 
192406  279.97   281.33   282.79   284.46   284.53 
192407  283.96   284.42   286.66   287.79   287.80 
192408  284.85   285.08   286.31   287.56   287.69 
192409  279.15   280.21   281.56   283.38   283.72 
192410  271.80   272.48   275.22   277.83   278.21 
192411  263.84   263.92   268.74   271.16   271.78 
192412  253.65   254.03   261.62   264.59   265.43 
192501  252.96   253.01   259.89   263.93   265.22 
192502  256.80   257.03   262.63   268.29   268.67 
192503  261.90   262.10   267.36   271.51   271.72 
192504  266.26   266.90   271.85   274.78   275.36 
192505  275.08   275.45   277.50   279.98   280.02 
192506  281.21   281.21   282.47   283.93   284.56 
192507  285.38   285.52   286.59   287.87   287.90 
192508  284.05   284.67   286.69   287.90   287.93 
192509  279.70   279.94   281.58   282.99   283.04 
192510  273.14   273.59   275.49   277.62   278.54 
192511  263.43   265.12   268.56   270.98   271.18 
192512  251.02   254.27   260.64   265.05   265.75 
192601  253.15   253.18   258.97   264.30   265.21 
192602  253.47   255.49   262.06   267.52   267.92 
192603  262.84   262.90   266.62   268.86   268.93 
192604  268.52   268.84   271.61   273.77   274.17 
192605  276.19   276.30   277.86   279.87   279.91 
192606  281.21   281.57   282.79   283.88   283.96 
